pregunta,respuesta_1,respuesta_2,respuesta_3,respuesta_4,respuesta_correcta
¿Cuál es el océano más grande del mundo?,Atlántico,Índico,Ártico,Pacífico,4
¿En qué año cayó el Muro de Berlín?,1987,1989,1991,1993,2
¿Quién escribió “La Odisea”?,Homero,Sócrates,Platón,Virgilio,1
¿Qué país tiene forma de bota en el mapa?,España,Grecia,Italia,Portugal,3
¿Cuál es el elemento químico con símbolo 'O'?,Oro,Oxígeno,Osmio,Óxido,2
¿Quién pintó “La última cena”?,Rafael,Leonardo da Vinci,Donatello,Michelangelo,2
¿Cuál es el país con más habitantes del mundo?,India,Rusia,Estados Unidos,China,4
¿Qué instrumento mide los terremotos?,Anemómetro,Barómetro,Sismógrafo,Higrómetro,3
¿En qué continente está ubicado Egipto?,Europa,Asia,África,Oceanía,3
¿Cuántos colores tiene el arcoíris?,5,6,7,8,3
¿Qué animal es el más grande del mundo?,Elefante azul,Ballena azul,Tiburón blanco,Orca,2
¿Quién fue el primer hombre en pisar la Luna?,Neil Armstrong,Buzz Aldrin,Yuri Gagarin,Michael Collins,1
¿En qué país se inventó el papel?,India,China,Egipto,Grecia,2
¿Cuál es el idioma más hablado en el mundo?,Inglés,Español,Hindi,Chino mandarín,4
¿Cuál es la capital de Canadá?,Toronto,Ottawa,Montreal,Vancouver,2
¿Qué planeta es el más cercano al Sol?,Venus,Marte,Saturno,Mercurio,4
¿De qué país es originario el sushi?,Corea del Sur,Tailandia,China,Japón,4
¿Cuántas patas tiene una araña?,6,8,10,12,2
¿Qué gas es esencial para la respiración humana?,Nitrógeno,Oxígeno,Carbono,Helio,2
¿En qué año comenzó la Primera Guerra Mundial?,1905,1914,1918,1920,2
¿Qué país tiene la mayor cantidad de pirámides?,Egipto,México,Sudán,Irán,3
¿Quién formuló las leyes del movimiento?,Einstein,Galileo,Newton,Kepler,3
¿Cuál es el río más largo de Asia?,Ganges,Amur,Yangtsé,Tigris,3
¿Quién escribió “Crimen y castigo”?,Tolstói,Dostoievski,Pushkin,Chejov,2
¿En qué país se encuentra el Monte Kilimanjaro?,Tanzania,Uganda,Kenya,Sudáfrica,1
¿Qué elemento tiene el símbolo químico 'Na'?,Nitrógeno,Sodio,Neón,NioBio,2
¿Qué país fue sede de los Juegos Olímpicos 2008?,Brasil,Alemania,China,Australia,3
¿Cuál es la capital de Islandia?,Oslo,Reykjavik,Helsinki,Estocolmo,2
¿Quién fue el autor de “1984”?,Aldous Huxley,George Orwell,Ray Bradbury,Kurt Vonnegut,2
¿Qué ave puede imitar la voz humana?,Búho,Cotorra,Cuervo,Loro,4
¿En qué país se inventó el ajedrez?,Grecia,India,Egipto,China,2
¿Cuántos dientes tiene un adulto promedio?,28,30,32,36,3
¿En qué parte del cuerpo se encuentra el estribo?,Pie,Mano,Oído,Nariz,3
¿Qué filósofo dijo “Solo sé que no sé nada”?,Platón,Aristóteles,Sócrates,Descartes,3
¿Cuál es el país más joven del mundo?,Kosovo,Timor Oriental,Palestina,Sudán del Sur,4
¿Qué científico desarrolló la tabla periódica?,Bohr,Thomson,Mendeleiev,Rutherford,3
¿Qué océano baña las costas de Perú?,Atlántico,Índico,Pacífico,Ártico,3
¿Quién descubrió América?,Cristóbal Colón,Américo Vespucio,Magallanes,Hernán Cortés,1
¿Qué continente tiene más países?,Europa,África,Asia,América,2
¿En qué año se fundó la ONU?,1919,1945,1951,1939,2
¿Cuál es el único planeta que gira de este a oeste?,Venus,Urano,Marte,Júpiter,1
¿Qué gas se libera al hervir agua?,Oxígeno,Vapor de agua,Nitrógeno,Hidrógeno,2
¿Quién pintó “El grito”?,Munch,Van Gogh,Picasso,Kandinsky,1
¿Qué deporte practica Novak Djokovic?,Tenis,Fútbol,Golf,Rugby,1
¿Dónde se encuentra la Gran Muralla?,China,Japón,Corea del Sur,Tailandia,1
¿Qué país tiene forma de dragón en su bandera?,Bhután,Nepal,Mongolia,Bután,1
¿Cuántos lados tiene un heptágono?,5,6,7,8,3
¿Quién es el dios principal del Olimpo?,Hades,Poseidón,Zeus,Ares,3
¿Cuál es el país más grande de África?,Nigeria,Argelia,Egipto,Sudáfrica,2
¿Qué animal es considerado el más inteligente?,Delfín,Perro,Pulpo,Orangután,1
¿Cuál es la capital de Suiza?,Zúrich,Berna,Ginebra,Lucerna,2
¿En qué país está el desierto del Sahara?,Marruecos,Níger,Argelia,Ninguno,4
¿Qué órgano filtra la sangre en el cuerpo?,Corazón,Hígado,Riñón,Pulmón,3
¿Quién fue el primer ser vivo en el espacio?,Ham,Laika,Belka,Artemis,2
¿Qué significa “www” en una dirección web?,World Wide Web,Web With Words,Wide Web Way,World Web Way,1
¿Qué escritor creó a Sherlock Holmes?,Agatha Christie,Arthur Conan Doyle,Stephen King,Edgar Allan Poe,2
¿Qué país inventó la pólvora?,Alemania,India,China,Rusia,3
¿Cuál es el número atómico del carbono?,6,8,12,14,1
¿Cuántos anillos hay en la bandera olímpica?,4,5,6,7,2
¿Qué instrumento se usa para medir temperatura?,Termómetro,Higrómetro,Barómetro,Altímetro,1
¿En qué país nació Beethoven?,Austria,Alemania,Francia,Italia,2
¿Qué célula transporta oxígeno en la sangre?,Plaquetas,Glóbulos blancos,Glóbulos rojos,Linfocitos,3
¿Cuál es el lago más profundo del mundo?,Titicaca,Baikal,Vostok,Superior,2
¿Qué civilización construyó Machu Picchu?,Aztecas,Mayas,Incas,Toltecas,3
¿Quién es el autor de “El Principito”?,Saint-Exupéry,Verne,Orwell,Bradbury,1
¿De qué país proviene el flamenco?,Italia,España,Portugal,México,2
¿Qué es un “tsunami”?,Tormenta de arena,Marea roja,Tormenta tropical,Ola gigante,4
¿Quién inventó la bombilla eléctrica?,Tesla,Edison,Franklin,Faraday,2
¿Qué país es famoso por la Torre Eiffel?,España,Italia,Francia,Alemania,3
¿Qué parte del cuerpo controla el equilibrio?,Pulmón,Cerebelo,Corteza,Oído,2
¿Qué país tiene como capital a Seúl?,Japón,China,Corea del Sur,Filipinas,3
¿Quién escribió “Cien años de soledad”?,Pablo Neruda,Gabriel García Márquez,Mario Vargas Llosa,Isabel Allende,2
¿En qué continente está el río Nilo?,Asia,África,Europa,Oceanía,2
¿Qué país tiene el mayor número de hablantes de español?,España,México,Argentina,Colombia,2
¿Cuál es el planeta más caliente del sistema solar?,Mercurio,Venus,Marte,Júpiter,2
¿Quién pintó “La noche estrellada”?,Dalí,Van Gogh,Monet,Picasso,2
¿Qué científico desarrolló la teoría del Big Bang?,Lemaitre,Einstein,Planck,Newton,1
¿Dónde se encuentran las ruinas de Petra?,Irak,Jordania,Israel,Turquía,2
¿Cuál es el animal más venenoso del mundo?,Cobra,Medusa caja,Rana dardo dorado,Escorpión de muerte rápida,2
¿En qué país se encuentra la ciudad de Dubrovnik?,Italia,Grecia,Croacia,Eslovenia,3
¿Quién escribió “El nombre de la rosa”?,Umberto Eco,Dan Brown,Jorge Luis Borges,Italo Calvino,1
¿Qué mineral es el más duro según la escala de Mohs?,Cuarzo,Diamante,Topacio,Zafiro,2
¿Cuántos huesos tiene el cuerpo humano adulto?,200,206,210,214,2
¿Dónde se originaron los Juegos Olímpicos?,Italia,Grecia,Francia,Turquía,2
¿Qué país es famoso por sus molinos de viento y tulipanes?,Alemania,Bélgica,Países Bajos,Suiza,3
¿Quién escribió “Fausto”?,Goethe,Shakespeare,Tolstói,Cervantes,1
¿Cuál es el desierto más árido del mundo?,Sahara,Atacama,Sonora,Gobi,2
¿Qué unidad mide la intensidad de la corriente eléctrica?,Voltio,Watt,Amperio,Ohm,3
¿Qué país tiene el mayor número de usuarios de internet?,India,EE.UU.,Brasil,China,4
¿En qué océano está el Triángulo de las Bermudas?,Pacífico,Índico,Atlántico,Ártico,3
¿Quién es el autor de “Ulises”?,T. S. Eliot,James Joyce,Hemingway,Fitzgerald,2
¿En qué país se encuentran las cataratas Victoria?,Kenia,Zimbabue,Nigeria,Tanzania,2
¿Cuál es el símbolo químico del plomo?,Pb,Pt,Pl,Pd,1
¿Qué país tiene la mayor cantidad de premios Nobel?,Alemania,Rusia,Estados Unidos,Reino Unido,3
¿En qué año se estrenó “Titanic”?,1995,1997,1999,2000,2
¿Qué compositor es conocido por su Novena Sinfonía?,Mozart,Beethoven,Chopin,Bach,2
¿Quién fue el primer papa latinoamericano?,Pío XII,Benedicto XVI,Francisco,Juan Pablo I,3
¿Cuál es la capital de Marruecos?,Marrakech,Fez,Tánger,Rabat,4
¿En qué país se encuentra el cráter de Chicxulub?,Brasil,México,Chile,Colombia,2
¿Quién escribió “La divina comedia”?,Petrarca,Boccaccio,Dante Alighieri,Machiavelo,3
¿En qué país se inventó la bicicleta?,Francia,Italia,Escocia,Inglaterra,1
¿Cuál es el país con más islas en el mundo?,Indonesia,Filipinas,Suecia,Canadá,3
¿Qué fruta tiene más potasio?,Banana,Kiwi,Naranja,Palta,1
¿Qué filósofo escribió “El contrato social”?,Kant,Hobbes,Rousseau,Locke,3
¿Cuál es el idioma oficial de Irán?,Persa,Árabe,Kurdo,Urdu,1
¿Quién descubrió la estructura del ADN?,Watson y Crick,Newton y Leibniz,Bohr y Feynman,Franklin y Pasteur,1
¿Cuántas lunas tiene Marte?,2,3,4,1,1
¿Qué país tiene el Everest en su frontera?,India,Nepal,Tíbet,Bután,2
¿Qué animal simboliza la sabiduría en la mitología griega?,Zorro,Serpiente,Búho,Águila,3
¿Qué órgano humano produce la bilis?,Hígado,Páncreas,Intestino,Riñón,1
¿Cuántos colores tiene la bandera de Alemania?,2,3,4,5,2
¿Quién fue el fundador del psicoanálisis?,Adler,Jung,Freud,Piaget,3
¿En qué país nació Mozart?,Alemania,Austria,Francia,Suiza,2
¿Qué país es conocido como “la tierra del sol naciente”?,Corea del Sur,Japón,China,Tailandia,2
¿En qué año se firmó la Declaración Universal de los Derechos Humanos?,1945,1948,1952,1950,2
¿Qué instrumento usa una brújula?,Mercurio,Magnético,Óptico,Electrónico,2
¿Quién fue la primera mujer en ganar un Premio Nobel?,Marie Curie,Jane Goodall,Emmy Noether,Rosalind Franklin,1
¿Qué tipo de animal es una orca?,Pez,Tiburón,Cetáceo,Crustáceo,3
¿En qué continente están los Alpes?,Asia,América,Europa,África,3
¿Qué país tiene la mayor reserva de petróleo del mundo?,Arabia Saudita,Venezuela,Irán,Rusia,2
¿Quién inventó el teléfono?,Bell,Edison,Marconi,Newton,1
¿Qué país tiene la capital llamada Varsovia?,Austria,Polonia,Hungría,Rumania,2
¿En qué año se descubrió América?,1490,1492,1500,1485,2
¿Qué mamífero marino tiene colmillos largos y curvos?,Orca,Foca,Manatí,Morsa,4
¿Qué número romano representa 50?,X,L,C,D,2
¿Cuál es el símbolo químico del oxígeno?,Ox,Og,O,On,3
¿En qué país se encuentra el Kremlin?,Rusia,Ucrania,Polonia,Bielorrusia,1
¿Qué planeta tiene el día más largo?,Marte,Venus,Saturno,Urano,2
¿Qué animal es conocido como el “rey de la selva”?,Tigre,León,Pantera,Jaguar,2
¿Qué país colonizó India hasta 1947?,Francia,Portugal,Reino Unido,España,3
¿Qué escritor argentino escribió “Fervor de Buenos Aires”?,Borges,Cortázar,Bioy Casares,Sábato,1
¿En qué ciudad se encuentra el Coliseo?,Atenas,París,Roma,Londres,3
¿Qué tipo de energía produce el Sol?,Térmica,Electromagnética,Nuclear,Cinética,3
¿Quién pintó “Las Meninas”?,Velázquez,Goya,El Bosco,Zurbarán,1
¿Qué ciudad es conocida como la “Ciudad de la Luz”?,Londres,Berlín,París,Ámsterdam,3
¿Dónde se encuentra el monte Fuji?,China,Corea del Sur,Japón,Tailandia,3
¿Cuál es el hueso más largo del cuerpo?,Radio,Fémur,Tibia,Húmero,2
¿Quién fue el primer ser humano en viajar al espacio?,Armstrong,Laika,Yuri Gagarin,John Glenn,3
¿Qué país tiene el mayor número de lenguas indígenas?,Brasil,Nigeria,India,Papúa Nueva Guinea,4
¿De qué país es originario el queso Roquefort?,Italia,Francia,Suiza,España,2
¿Quién es el dios griego del mar?,Hades,Zeus,Poseidón,Ares,3
¿Qué instrumento tiene cuerdas y se toca con arco?,Guitarra,Arpa,Violín,Bajo,3
¿Qué país tiene bandera roja con una hoja de arce?,Suiza,Austria,Canadá,Dinamarca,3
¿Quién escribió “Rayuela”?,Sabato,Cortázar,Borges,Onetti,2
¿Cuántos jugadores hay en un equipo de rugby?,11,13,15,18,3
¿Qué órgano regula el nivel de azúcar en sangre?,Corazón,Hígado,Páncreas,Riñón,3
¿Cuál es el monte más alto de Europa?,Alpes,Dufour,Mont Blanc,Elbrus,4
¿Qué gas es esencial en la fotosíntesis?,Oxígeno,Nitrógeno,Hidrógeno,Dióxido de carbono,4
¿Qué país tiene el canal de Suez?,Egipto,Irak,Arabia Saudita,Israel,1
¿Quién escribió “Los miserables”?,Balzac,Flaubert,Hugo,Maupassant,3
¿Qué país posee las islas Galápagos?,Chile,Colombia,Ecuador,Perú,3
¿En qué país nació Nikola Tesla?,Serbia,Croacia,Eslovenia,Hungría,2
¿Quién fue el primer emperador de China?,Mao,Zhou,Shi Huangdi,Han Gaozu,3
¿Qué continente no tiene desiertos?,Asia,Oceanía,Europa,África,3
¿Cuántos vértices tiene un cubo?,6,8,10,12,2
¿Qué tipo de animal es un camaleón?,Mamífero,Anfibio,Reptil,Ave,3
¿Dónde se encuentra el río Danubio?,América,Europa,Asia,África,2
¿Qué tipo de energía se obtiene del viento?,Eólica,Geotérmica,Hidráulica,Química,1
¿Quién escribió “El extranjero”?,Kafka,Sartre,Camus,Nietzsche,3
¿Qué país tiene forma de lágrima en Asia?,Malasia,India,Sri Lanka,Indonesia,3
¿Cuál es la moneda oficial del Reino Unido?,Euro,Dólar,Libra esterlina,Franco,3
¿En qué año cayó el Imperio romano de Occidente?,376,410,476,500,3
¿Qué órgano humano produce insulina?,Riñón,Hígado,Páncreas,Corazón,3
¿Qué instrumento sirve para ver objetos pequeños?,Microscopio,Telescopio,Periscopio,Estetoscopio,1
¿Qué país alberga el lago Titicaca?,Colombia,Perú,Chile,Ecuador,2
¿Qué país limita con Canadá y México?,Estados Unidos,Brasil,Argentina,Guatemala,1
¿Qué planeta se considera un “gigante gaseoso”?,Marte,Venus,Júpiter,Plutón,3
¿Cuál es la lengua clásica de la India?,Hindi,Tamíl,Sánscrito,Punjabí,3
¿Qué país tiene una ciudad llamada Casablanca?,Argelia,Marruecos,Túnez,Egipto,2
¿Quién escribió “Don Juan Tenorio”?,Quevedo,Zorrilla,Larra,Cervantes,2
¿Qué planeta tiene una gran mancha roja?,Neptuno,Saturno,Júpiter,Urano,3
¿Dónde se encuentra el Mar Muerto?,Turquía,Israel,Jordania,Irak,3
¿Qué instrumento musical es de viento?,Violín,Piano,Trompeta,Arpa,3
¿Quién fue el autor de “La metamorfosis”?,Kafka,Camus,Hesse,Joyce,1
¿En qué país nació Frida Kahlo?,México,España,Colombia,Argentina,1
¿Qué animal es el símbolo de WWF?,Oso polar,Pingüino,Oso panda,Tigre,3
¿Cuál es el idioma más hablado en África?,Inglés,Francés,Árabe,Suajili,4
¿Qué es un haiku?,Un poema japonés,Un cuento corto,Un refrán,Una novela breve,1
¿En qué país se originó el yoga?,China,India,Tailandia,Nepal,2
¿Qué vitamina produce el cuerpo con el sol?,Vitamina A,Vitamina C,Vitamina D,Vitamina E,3
¿Quién fue el faraón más famoso de Egipto?,Keops,Ramsés II,Tutankamón,Cleopatra,3
¿Qué gas es inflamable y se usa en cocinas?,Nitrógeno,Propano,Oxígeno,Argón,2
¿Cuál es la capital de Finlandia?,Tallin,Estocolmo,Helsinki,Oslo,3
¿En qué año comenzó la Revolución Francesa?,1776,1789,1804,1810,2
¿Qué país es famoso por los fiordos?,Suecia,Noruega,Dinamarca,Islandia,2
¿Qué filósofo escribió “Así habló Zaratustra”?,Nietzsche,Hegel,Kant,Heidegger,1
¿Qué parte del cuerpo es afectada por el glaucoma?,Ojo,Oído,Cerebro,Pulmón,1
¿Quién pintó “La persistencia de la memoria”?,Dalí,Picasso,Miró,Mondrian,1
¿Qué animal representa a Australia?,Koala,Canguro,Emú,Dingo,2
¿Quién descubrió la gravedad?,Galileo,Kepler,Newton,Einstein,3
¿Dónde se encuentra el Taj Mahal?,India,Arabia Saudita,Nepal,Irán,1
¿Qué país es famoso por sus castillos medievales?,Portugal,Rumania,Francia,Escocia,4
¿Cuántos tentáculos tiene un pulpo?,6,8,10,12,2
¿En qué continente está la selva del Amazonas?,Asia,África,América del Sur,Oceanía,3
¿Quién fue el primer astronauta en orbitar la Tierra?,Armstrong,Gagarin,Collins,Shepard,2
¿Dónde se encuentra el Everest?,India,Tíbet,Nepal,Bangladés,3
¿Qué escritor creó a Drácula?,Bram Stoker,Edgar Allan Poe,Oscar Wilde,Mary Shelley,1
¿Qué parte del cuerpo produce glóbulos rojos?,Corazón,Médula ósea,Hígado,Bazo,2
¿En qué país se desarrolló la cultura maya?,Colombia,México,Bolivia,Chile,2
¿Qué país tiene el puerto de Hamburgo?,Dinamarca,Suecia,Austria,Alemania,4
¿Dónde se encuentra la Torre de Pisa?,Venecia,Nápoles,Florencia,Pisa,4
¿En qué año llegó el hombre a la Luna?,1967,1969,1971,1973,2
¿Qué metal se usa principalmente en cables eléctricos?,Oro,Hierro,Cobre,Aluminio,3
¿Cuál es el himno nacional de Francia?,God Save the Queen,Ode to Joy,La Marseillaise,El Cóndor Pasa,3
¿Quién escribió “El retrato de Dorian Gray”?,Poe,Joyce,Oscar Wilde,Goethe,3
¿En qué país se encuentra Transilvania?,Eslovaquia,Rumania,Austria,Polonia,2
¿Qué país es famoso por su chocolate?,España,Francia,Bélgica,Suiza,4
¿Qué isla está dividida entre Haití y República Dominicana?,Puerto Rico,Cuba,Bahamas,La Española,4
¿En qué ciudad está el Big Ben?,Liverpool,Oxford,Londres,Cambridge,3
¿Qué país tiene una bandera con una hoja roja?,Dinamarca,Noruega,Canadá,Suecia,3
¿En qué país se encuentra Machu Picchu?,México,Perú,Ecuador,Colombia,2
¿Quién fue el emperador francés más famoso?,Luis XIV,Napoleón Bonaparte,Francisco José,Carlos Magno,2
¿Qué país está entre Francia y España?,Andorra,Luxemburgo,Bélgica,Liechtenstein,1
¿En qué océano está Madagascar?,Atlántico,Pacífico,Índico,Ártico,3
¿Qué filósofo escribió “La república”?,Sócrates,Aristóteles,Platón,Demócrito,3
¿Qué país es conocido por el carnaval de Río?,Colombia,Argentina,Brasil,Uruguay,3
¿Qué país tiene como capital a Praga?,Hungría,Austria,República Checa,Eslovaquia,3
¿Quién fue el primer presidente de Estados Unidos?,Thomas Jefferson,George Washington,Abraham Lincoln,John Adams,2
¿Qué animal produce perlas?,Estrella de mar,Ostra,Cangrejo,Calamar,2
¿En qué país está el río Amazonas?,Colombia,Brasil,Perú,Ecuador,2
¿Quién pintó “El jardín de las delicias”?,Velázquez,El Bosco,Goya,Caravaggio,2
¿Cuál es el país más poblado de África?,Sudáfrica,Nigeria,Egipto,Argelia,2
¿En qué país se encuentra Stonehenge?,Francia,Reino Unido,Irlanda,Escocia,2
¿Qué instrumento tiene teclas, pedales y cuerdas?,Órgano,Violín,Piano,Clavicordio,3
¿Quién escribió “Matar a un ruiseñor”?,Harper Lee,Truman Capote,Mark Twain,Stephen King,1
¿Qué planeta gira más rápido sobre su eje?,Júpiter,Saturno,Marte,Venus,1
¿En qué continente se encuentra el desierto del Gobi?,África,Asia,Oceanía,Europa,2
¿Qué deporte se practica en Wimbledon?,Fútbol,Golf,Tennis,Rugby,3
¿Quién escribió “La Ilíada”?,Homero,Virgilio,Platón,Sócrates,1
¿En qué país está la ciudad de Kyoto?,Corea del Sur,China,Malasia,Japón,4
¿Qué país tiene frontera con 14 países?,Alemania,China,Rusia,India,3
¿Cuál es el satélite natural de la Tierra?,Luna,Europa,Io,Fobos,1
¿En qué país se originó el flamenco?,Italia,Francia,España,Portugal,3
¿Qué país tiene el récord de más Copas Mundiales de fútbol?,Italia,Argentina,Alemania,Brasil,4
¿Dónde nació Ludwig van Beethoven?,Austria,Alemania,Francia,Polonia,2
¿Qué civilización construyó las pirámides?,Mayas,Griegos,Egipcios,Persas,3
¿Qué metal es líquido a temperatura ambiente?,Mercurio,Plomo,Cobre,Hierro,1
¿Qué isla pertenece a Italia y es famosa por el monte Etna?,Sicilia,Cerdeña,Malta,Creta,1
¿Quién fue el creador de Facebook?,Elon Musk,Bill Gates,Mark Zuckerberg,Larry Page,3
¿Cuál es el país más grande de América del Sur?,Brasil,Argentina,Colombia,Venezuela,1
¿Quién escribió “El Aleph”?,Cortázar,Borges,Sábato,Bioy Casares,2
¿Qué animal se considera el más lento del mundo?,Koala,Perezoso,Tortuga,Caballo de mar,2
¿Qué país tiene una cruz blanca sobre fondo rojo en su bandera?,Dinamarca,Suiza,Noruega,Inglaterra,2
¿En qué país se encuentra el Parque Yellowstone?,Canadá,México,Estados Unidos,Australia,3
¿Qué océano rodea Australia?,Índico,Atlántico,Ártico,Pacífico,1
¿Cuál es la capital de Venezuela?,Caracas,Maracaibo,Valencia,Barquisimeto,1
¿Quién escribió “1984”?,Aldous Huxley,George Orwell,Ray Bradbury,Philip K. Dick,2
¿Qué animal es símbolo de sabiduría?,Águila,Lechuza,Búho,Zorro,3
¿Qué continente tiene más superficie?,África,Asia,Europa,América,2
¿Dónde se encuentra la ciudad de Medellín?,Ecuador,Colombia,Perú,Bolivia,2
¿En qué país se inventó la imprenta?,Francia,Inglaterra,Alemania,Italia,3
¿Quién escribió “La tregua”?,Galeano,Benedetti,Neruda,Sabato,2
¿Cuál es el país más largo del mundo?,Argentina,Rusia,Canadá,Chile,4
¿Quién fue el primer hombre en llegar al Polo Sur?,Scott,Amundsen,Hillary,Nansen,2
¿En qué país se usa el rublo como moneda?,Ucrania,Rusia,Kazajistán,Georgia,2
¿Qué artista es famoso por pintar latas de sopa?,Pollock,Dalí,Warhol,Basquiat,3
¿En qué país se encuentra la ciudad de Brujas?,Francia,Países Bajos,Bélgica,Suiza,3
¿Cuál es el animal terrestre más grande?,Elefante rinoceronte,Elefante africano,Hipopotamo,Gorila,2
¿Qué país está formado por más de 7000 islas?,Indonesia,Filipinas,Japón,Maldivas,2
¿Qué instrumento mide la humedad del aire?,Anemómetro,Barómetro,Higrómetro,Thermómetro,3
¿Quién escribió “El túnel”?,Borges,Sabato,Cortázar,Bioy Casares,2
¿Qué país tiene forma alargada en Sudamérica?,Colombia,Perú,Chile,Argentina,3
¿En qué continente está Groenlandia?,Europa,Asia,América,Oceanía,3
¿Qué país se independizó de Portugal en 1822?,Brasil,Mozambique,Angola,Guinea,1
¿Qué color representa la esperanza?,Rojo,Amarillo,Verde,Azul,3
¿En qué país se encuentra la ciudad de Dubái?,Arabia Saudita,Kuwait,Emiratos Árabes Unidos,Catar,3
¿Qué pintor es famoso por cortarse una oreja?,Picasso,Van Gogh,Monet,Manet,2
¿Qué gas llena los globos aerostáticos?,Oxígeno,Helio,Nitrógeno,Argón,2
¿Quién escribió “Las mil y una noches”?,Desconocido,Omar Khayyam,Khalil Gibran,Al-Mutanabbi,1
¿En qué país está la ciudad de Florencia?,Francia,España,Italia,Suiza,3
¿Qué famoso explorador dio la vuelta al mundo?,Cristóbal Colón,Fernando de Magallanes,Marco Polo,James Cook,2
¿Dónde se encuentra la isla de Pascua?,Hawái,Chile,Perú,Ecuador,2
¿Qué es un “espectro electromagnético”?,Una serie de ondas,Un prisma,Un gas ionizado,Una partícula de luz,1
¿En qué año comenzó la Segunda Guerra Mundial?,1937,1939,1941,1945,2
¿Qué animal tiene el cuello más largo?,Cisne,Serpiente,Girafa,Camello,3
¿Quién escribió “El amor en los tiempos del cólera”?,Benedetti,Cortázar,Gabriel García Márquez,Sabato,3
¿Qué parte del cuerpo humano tiene más huesos?,Cabeza,Mano,Pie,Columna,2
¿En qué país está el volcán Etna?,Italia,Grecia,Rumania,Turquía,1
¿Quién descubrió la penicilina?,Pasteur,Darwin,Fleming,Curie,3
¿Cuántas notas musicales existen?,5,6,7,8,3
¿En qué país nació Charles Darwin?,Francia,EE.UU.,Alemania,Reino Unido,4
¿Qué país tiene como capital a Estocolmo?,Noruega,Islandia,Suecia,Finlandia,3
¿Qué animal es conocido por su capacidad de cambiar de color?,Calamar,Camaleón,Pulpo,Serpiente,2
¿Dónde se encuentran las cataratas del Niágara?,EE.UU. y Canadá,México y EE.UU.,Brasil y Argentina,Canadá y Groenlandia,1
¿Quién escribió “La náusea”?,Nietzsche,Sartre,Foucault,Heidegger,2
¿Qué famoso científico fue ciego por un tiempo?,Galileo,Newton,Einstein,Darwin,1
¿En qué país está el desierto de Atacama?,Bolivia,Argentina,Chile,Paraguay,3
¿Qué es un eclipse lunar?,Sombra de la Tierra sobre la Luna,Luna tapa al Sol,Luna desaparece,Efecto óptico,1
¿Qué tipo de sangre es donante universal?,O+,AB,O-,A+,3
¿Qué país tiene más medallas olímpicas?,Rusia,EE.UU.,Alemania,Reino Unido,2
¿Quién escribió “Hamlet”?,Molière,Cervantes,Shakespeare,Dante,3
¿Dónde está la catedral de Notre-Dame?,Madrid,Londres,París,Bruselas,3
¿Cuál es la moneda de Japón?,Yen,Yuan,Ringgit,Dólar,1
¿Qué país construyó el Coliseo?,Grecia,Italia,Francia,España,2
¿En qué año se disolvió la URSS?,1989,1990,1991,1992,3
¿Qué órgano se afecta con la hepatitis?,Pulmón,Hígado,Estómago,Corazón,2
¿Dónde se encuentra el río Mekong?,India,Vietnam,China,Corea del Sur,2
¿Quién pintó “Guernica”?,Dalí,Miró,Picasso,Tàpies,3
¿Dónde se originó el tango?,Brasil,Argentina,Colombia,Uruguay,2
¿Qué filósofo escribió “Meditaciones metafísicas”?,Spinoza,Kant,Descartes,Hume,3
¿Cuál es la capital de Irak?,Damasco,Bagdad,Teherán,Amán,2
¿Qué planeta tiene un sistema de anillos?,Venus,Júpiter,Saturno,Urano,3
¿Quién escribió “Los hermanos Karamazov”?,Tolstói,Dostoievski,Pushkin,Chejov,2
¿Qué país es famoso por el sushi?,China,Corea del Sur,Japón,Malasia,3
¿Qué lengua se habla en Austria?,Inglés,Francés,Italiano,Alemán,4
¿Qué océano está entre África y Australia?,Pacífico,Atlántico,Índico,Ártico,3
¿Qué invento hizo famoso a Gutenberg?,El papel,La tinta,La imprenta,La pluma,3
¿En qué país está la ciudad de Múnich?,Austria,Suiza,Alemania,Países Bajos,3
¿Quién fue Sófocles?,Historiador,Músico,Poeta,Dramaturgo,4
¿Qué gas emiten los autos que contamina?,Oxígeno,Nitrógeno,CO2,Helio,3
¿Qué país posee la ciudad de Estambul?,Grecia,Turquía,Siria,Irak,2
¿Qué animal pone huevos pero también amamanta?,Murciélago,Ornitorrinco,Erizo,Mapache,2